domaine_key,domaine_label,domaine_icon,critere_intitule,critere_description,critere_poids,critere_consistance
PACTE-Transmission TPME,PACTE-Transmission TPME,,Améliorer la gouvernance de mon entreprise,,,
PACTE-Restructuration TPME,PACTE-Restructuration TPME,,Améliorer la gouvernance et la conformité juridique/fiscale,,,
PACTE-Transmission TPME,PACTE-Transmission TPME,,Assistance à maitrise d’ouvrage et externalisation des évaluations indépendantes,,,
PACTE-Transmission TPME,PACTE-Transmission TPME,,Assister mon entreprise dans le déploiement du plan de transmission,,,
PACTE-Restructuration TPME,PACTE-Restructuration TPME,,Assister mon entreprise pour sa restructuration (mise en œuvre du plan de retournement),,,
PACTE-Transmission TPME,PACTE-Transmission TPME,,Céder mon entreprise,,,
PACTE-Transmission TPME,PACTE-Transmission TPME,,Elaborer un diagnostic et mise en place d’un plan de transmission,,,
PACTE-Restructuration TPME,PACTE-Restructuration TPME,,Etablir mon plan de restructuration -retournement,,,
PACTE-Restructuration TPME,PACTE-Restructuration TPME,,Management de transition au sein de l’entreprise,,,
PACTE-Restructuration TPME,PACTE-Restructuration TPME,,Médiation avec les créanciers et partenaires publics,,,
PACTE-Transmission TPME,PACTE-Transmission TPME,,Ouvrir le capital de mon entreprise,,,
PACTE-Transmission TPME,PACTE-Transmission TPME,,Professionnaliser et pérenniser mon entreprise familiale,,,
PACTE-Transmission TPME,PACTE-Transmission TPME,,Préparer et accompagner la mis en œuvre du plan de transmission,,,
PACTE-Restructuration TPME,PACTE-Restructuration TPME,,Rapprochement entre une société et un investisseur, adossement à un partenaire industriel,,,
PACTE-Restructuration TPME,PACTE-Restructuration TPME,,Renforcer la conformité réglementaire et sectorielle,,,
PACTE-Restructuration TPME,PACTE-Restructuration TPME,,Repositionnement stratégique, basé sur des des études de marché et /ou benchmarks.,,,
PACTE-Restructuration TPME,PACTE-Restructuration TPME,,Restructuration commerciale,,,
PACTE-Restructuration TPME,PACTE-Restructuration TPME,,Restructuration financière,,,
PACTE-Restructuration TPME,PACTE-Restructuration TPME,,Restructuration industrielle,,,
PACTE-Restructuration TPME,PACTE-Restructuration TPME,,Restructuration RH et plan social,,,
PACTE-Transmission TPME,PACTE-Transmission TPME,,Réaliser une valorisation de l’entreprise,,,
PACTE-Restructuration TPME,PACTE-Restructuration TPME,,Réorganisation de l’entreprise,,,
PACTE-Transmission TPME,PACTE-Transmission TPME,,Structurer et sécuriser le projet de reprise avec un audit personnalisé du repreneur.,,,
