domaine_key,domaine_label,domaine_icon,critere_intitule,critere_description,critere_poids,critere_consistance
PACTE-Performance,PACTE-Performance,,Accompagnement à l’intégration de l’IA,,,
PACTE-Performance,PACTE-Performance,,Accès à des services en mode Cloud,,,
PACTE-Décarbonation/Eau,PACTE-Décarbonation/Eau,,Adoption d’une démarche de développement durable,,,
PACTE-Performance,PACTE-Performance,,Aligner mon organisation sur ma stratégie,,,
PACTE-Performance,PACTE-Performance,,Assister mon entreprise pour son accélération "Dynamic Entrepreneurship",,,
PACTE-Performance,PACTE-Performance,,Création de plateforme transactionnelle multi canal / multi device,,,
PACTE-Performance,PACTE-Performance,,Créer, développer et protéger mes marques,,,
PACTE-Décarbonation/Eau,PACTE-Décarbonation/Eau,,Diagnostics (énergétique, environnemental),,,
PACTE-Performance,PACTE-Performance,,Développer les canaux de distribution,,,
PACTE-Performance,PACTE-Performance,,Développer mes ventes,,,
PACTE-Performance,PACTE-Performance,,Elaborer et déployer ma stratégie de marketing digitale,,,
PACTE-Performance,PACTE-Performance,,Gérer ma production,,,
PACTE-Décarbonation/Eau,PACTE-Décarbonation/Eau,,Gérer ma productivité en temps réel,,,
PACTE-Performance,PACTE-Performance,,Gérer mes ressources humaines,,,
PACTE-Performance,PACTE-Performance,,Gérer mon BFR, ma comptabilité et mon recouvrement,,,
PACTE-Performance,PACTE-Performance,,Instaurer le Lean Manufacturing (INMAA),,,
PACTE-Performance,PACTE-Performance,,Instaurer le Lean - service dans mon entreprise,,,
PACTE-Performance,PACTE-Performance,,Instaurer le Lean / service dans mon entreprise,,,
PACTE-Performance,PACTE-Performance,,Maitriser mes coûts,,,
PACTE-Performance,PACTE-Performance,,Maitriser mes coûts,,,
PACTE-Performance,PACTE-Performance,,Mettre en place ma fonction contrôle de gestion,,,
PACTE-Performance,PACTE-Performance,,Mettre en place ma fonction contrôle de gestion,,,
PACTE-Performance,PACTE-Performance,,Optimiser la maintenance de mes équipements et installations,,,
PACTE-Performance,PACTE-Performance,,Optimiser mes achats et ma chaîne logistique,,,
PACTE-Décarbonation/Eau,PACTE-Décarbonation/Eau,,Plan de décarbonation,,,
PACTE-Décarbonation/Eau,PACTE-Décarbonation/Eau,,Se conformer aux normes/labels (RSE, management environnemental, management de l’énergie, …),,,
